Statistics,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
M_55to64Years,324086,48584,415522,188082,2366158,350470,254733,66068,33032,1391425,631328,92087,109439,826202,433858,209780,185544,293125,293109,104428,401452,468917,696811,381387,183705,406898,74706,122246,191222,107461,622721,132493,1310482,647688,48776,792324,241267,264235,903026,74894,324491,58835,435497,1603097,152357,48289,546869,478018,126256,416624,39252
M_65to74Years,238075,31844,344077,141091,1581047,249580,167862,52912,21419,1137797,424233,75726,87447,559618,301294,152458,132021,212674,206992,82589,261463,318673,498907,260417,134243,287399,62808,86805,145580,75070,403049,106777,895711,477261,33924,564936,173216,220081,651629,52110,260748,44416,320313,1051370,106686,37692,376160,350206,104964,292854,30787
M_75to84Years,106537,10382,179121,66298,696336,95642,75126,23913,9351,621507,175792,33531,38358,243598,127233,66406,56124,90249,84806,35269,114345,134840,211710,111717,58641,130452,27422,37956,65338,30331,182138,47392,400262,205600,14654,240950,80827,90549,285611,22662,113123,18047,141284,441658,46514,15604,165350,143665,46984,124187,12406
M_85YearsandOver,27527,2801,53740,19336,272143,34042,30915,7181,3748,217598,50951,13929,11123,87003,43966,26594,22367,25808,28661,11333,39236,54306,74134,42373,15478,43707,7671,14298,18021,10376,67914,16029,155814,63307,6301,85681,23267,32657,110647,8197,31051,6473,38004,140290,15110,4858,52882,48657,12862,43468,3776
FemalePop,2567972,351202,3545308,1522789,19741309,2827240,1836470,504673,357664,10850214,5433999,721326,899088,6489637,3406980,1589089,1463947,2270358,2373744,688738,3153399,3578678,5079187,2831337,1522768,3113793,532307,972617,1517449,688329,4694713,1060918,10293034,5299356,376251,5969919,1983209,2110748,6576433,557666,2604844,435324,3497398,14464410,1597527,323104,4337198,3785400,904326,2934040,281437
F_Under5Years,144276,24826,201999,89170,1146476,158279,88388,26667,21068,547351,314626,42240,56355,364468,202506,95263,90089,131639,145968,31033,178187,174546,275955,170331,88560,179003,29140,63563,88791,31214,258730,59138,564209,289115,25805,337131,123410,108729,341885,27134,139164,29297,198246,958490,119820,14049,244760,218811,45161,160734,16550
F_5to9Years,146733,25891,215310,95925,1188179,170826,97298,27835,17734,564146,335684,42166,61224,383394,213179,99107,98651,134664,147702,33921,185444,182121,288805,179033,94546,183572,31527,65190,92791,32468,270750,64912,553646,308334,25531,346303,130675,117183,360844,28605,151791,30911,201896,998344,129864,15342,252006,230501,49064,173541,18237
F_10to14Years,162158,24162,235194,98171,1296261,178712,108901,29842,15149,608112,369232,42674,66826,413063,225170,106302,99835,146208,155675,35708,192426,197419,309219,187238,102156,198719,32575,67848,100108,39337,290610,72068,586601,329006,24432,374155,136325,125449,381917,29268,158207,29840,219898,1065663,131992,16997,266690,233793,51980,183963,19632
F_15to17Years,95167,14049,137529,59874,757006,107666,68990,17790,7798,363328,219670,23540,39298,251226,135816,61946,59029,84707,89610,22913,115580,124120,192111,110156,59917,117561,19472,39292,57370,24095,176740,41845,353650,199221,14047,226311,79191,73689,233921,18722,94004,17008,129605,620620,78253,10694,158801,136471,31535,112356,10744
F_18to24Years,230513,29856,325423,136426,1785983,250233,168939,41449,38651,847487,498805,55365,80660,574710,321480,153746,141751,203552,207295,52569,263663,353284,466189,245995,141196,275037,46345,93432,120709,61518,382620,95355,905794,475379,40189,522615,182415,177675,570151,57056,223735,40139,304781,1360060,178255,33099,391258,316423,75042,270648,24391
F_25to34Years,328098,54963,467102,194163,2885487,425915,219467,64069,82770,1352337,740657,97249,115613,868914,437003,193335,184148,287128,325281,80921,417624,494669,640235,370288,192844,407488,67748,124874,217477,82968,582308,135745,1455137,695259,52846,766804,264085,292074,837065,74208,336392,53958,472712,2059727,230615,37288,581961,555320,103404,359871,36024
F_35to44Years,315771,46314,432664,188700,2620387,387976,221766,58757,54067,1311562,722751,92182,114768,832953,420081,190776,179951,279778,302520,79853,410034,440996,595069,361112,190763,380073,64583,120806,202487,79577,598294,128797,1280662,668015,44343,714127,248358,283177,774036,65182,318240,51507,435260,1967990,219284,37734,567392,509190,107524,357763,36189
F_45to54Years,323966,41278,419087,183520,2506218,347705,249462,62606,36364,1379530,720678,86904,101830,821198,418213,183192,166457,286676,283509,90204,421672,468840,643527,339102,187899,374543,59516,108169,193702,93706,640890,121435,1321767,692480,39041,741114,228277,254881,825896,71828,327681,46771,447380,1785594,164933,40981,564357,462317,115369,361060,31532
F_55to64Years,349002,44702,444079,198204,2434959,359938,266983,73289,35382,1506298,683040,93403,112344,857195,448478,210338,190520,309886,314197,109986,433923,494471,719772,381072,200318,425519,76848,122731,190546,109087,652356,142280,1393196,702480,46698,828124,251951,278053,936815,80046,359055,58045,469031,1660442,154653,49943,575765,487330,131182,417535,38567
F_65to74Years,273827,29621,387296,159216,1782400,268788,189547,61044,27553,1304876,500530,79928,90572,630669,335267,160760,141352,237606,236480,88670,308315,364247,547999,275175,153935,324210,62660,93193,156269,79052,463869,118105,1034154,553464,33768,632006,193816,241273,723262,58004,300550,44040,362893,1181847,113878,39667,427110,382040,112762,306333,29710
F_75to84Years,142272,11713,200147,83939,885135,116980,98023,29795,14617,737603,233171,40383,41927,323653,166340,86783,72067,119685,115243,42366,152385,179444,266360,138605,78431,169217,29182,46589,71380,37432,246504,55735,548526,268601,18900,322440,101377,108052,380943,31057,141027,21582,183042,561956,54996,18545,215887,171014,55554,149977,13834
F_85YearsandOver,56189,3827,79478,35481,452818,54222,58706,11530,6511,327584,95155,25292,17671,168194,83447,47541,40097,48829,50264,20594,74146,104521,133946,73230,32203,78851,12711,26930,25819,17875,131042,25503,295692,118002,10651,158789,43329,50513,209698,16556,54998,12226,72654,243677,20984,8765,91211,82190,25749,80259,6027
MaleEA_Pop25YearsandOver,1624678,251964,2362154,978067,13229666,1975516,1211183,329528,230462,7429500,3379874,505081,590472,4262102,2192385,1047159,947359,1483976,1506361,482306,2022696,2355680,3376224,1908917,937712,2027918,373214,632023,1059038,486409,3096343,699039,6751946,3386575,257650,3914049,1276548,1463373,4423782,369734,1669228,292106,2265508,9158236,962517,221540,2858838,2629251,626370,1994887,198279
MaleEA_LessthanHighSchool,226461,18112,292497,130991,2137364,160291,118042,34241,18537,872152,441780,35381,57177,460172,239818,82411,87392,202214,234573,35657,205213,217023,308355,131829,154428,197290,23630,56827,139594,35312,305597,98551,879139,424763,18730,369382,155556,138167,406277,41991,209489,23894,279731,1457318,70839,17049,281962,227216,81785,158896,13303
MaleEA_HighSchoolGrad,519061,79487,568896,358982,2825211,430183,333289,105652,35786,2128716,975066,143573,164054,1133246,760404,345108,257558,519372,529488,161256,515553,588877,1003509,486284,303003,654557,110899,170751,301913,142062,828670,195280,1773724,910906,72737,1339204,413134,342678,1537412,108907,502804,94934,749397,2316330,213082,69255,719050,601758,266651,633598,62273
MaleEA_SomeCollege,461869,86851,767868,263407,3670091,559043,281631,83640,33272,2103420,888217,161211,199101,1172109,602124,325125,288325,401205,392370,137092,484496,504098,1052807,601199,286430,576298,117245,206004,346012,128941,687796,215761,1618275,982885,93493,1072851,378264,483933,1044879,91066,473326,90521,601793,2561921,318531,52929,720827,832267,151202,612410,68970
MaleEA_BachelorsDegree,260597,41871,451206,144566,2816104,515459,267899,62036,59978,1441631,674606,105752,108871,915516,377188,197910,196959,224197,227069,94014,438484,582287,613113,452988,121467,376037,80437,130004,176463,112298,765676,103784,1440091,679360,52656,709485,213598,310029,882002,76428,311093,56393,405266,1803421,223245,50591,627514,598429,77665,388282,32765
MaleEA_MastersDegree,101009,17100,189461,51818,1148481,214957,142283,29305,47766,567092,268176,36915,39242,393387,142331,60420,79789,88754,72846,34641,242643,299697,271926,155311,44712,148498,25347,45067,61416,47550,345393,53962,676899,257843,13040,283772,74948,120100,358275,33388,113004,16355,145270,698444,93248,20255,356300,254000,30887,130406,14351
MaleEA_ProfessionalSchoolDegree,31006,4989,55024,17533,357140,54446,42636,6808,24254,208612,80749,13100,12199,118110,40453,21010,22062,30083,31941,11734,72431,80224,75619,49425,16747,44217,9203,13847,21702,11014,101971,14768,238598,75142,4128,84527,24284,38361,112333,10442,34729,6302,48189,187395,24164,6286,87219,65702,10461,41644,3753
MaleEA_DoctorateDegree,24675,3554,37202,10770,275275,41137,25403,7846,10869,107877,51280,9149,9828,69562,30067,15175,15274,18151,18074,7912,63876,83474,50895,31881,10925,31021,6453,9523,11938,9232,61240,16933,125220,55676,2866,54828,16764,30105,82604,7512,24783,3707,35862,133407,19408,5175,65966,49879,7719,29651,2864
FemEA_Pop25YearsandOver,1789125,232418,2429853,1043223,13567404,1961524,1303954,361090,257264,7919790,3695982,515341,594725,4502776,2308829,1072725,974592,1569588,1627494,512594,2218099,2547188,3546908,1938584,1036393,2159901,373248,643292,1057680,499697,3315263,727600,7329134,3698301,246247,4163404,1331193,1508023,4687715,396881,1837943,288129,2442972,9461233,959343,232923,3023683,2649401,651544,2032798,191883
FemEA_LessthanHighSchool,203586,14557,267963,117730,2098671,140329,106979,27547,19397,810353,390209,39087,47506,425149,220662,69969,73901,174749,197022,26950,186140,216192,274546,115781,129094,180249,18530,48779,135166,27497,303280,90164,890518,351923,15101,346369,137817,114435,381099,41517,183959,19434,249431,1368863,61664,10866,257637,199285,70796,126379,11130
FemEA_HighSchoolGrad,522148,58386,556602,329750,2651943,380793,323660,104276,39776,2154213,950282,130356,150467,1092936,725591,303765,235781,481135,506716,146126,498739,548208,967770,432812,285214,622044,96597,155594,285675,127280,864890,176118,1779874,876688,58663,1297651,390592,325405,1541927,104809,505207,79857,736416,2247289,222529,57873,683437,548535,245581,576153,48677
FemEA_SomeCollege,570253,78798,842765,329161,3962352,580232,331570,102888,41489,2440480,1095077,160396,221610,1311697,699316,363786,317759,489819,473603,153369,588172,612121,1196483,634134,357008,672182,128335,217185,356755,147979,760520,243724,1772838,1198548,88521,1253667,432236,525684,1182653,107556,585962,97558,724501,2796553,354356,60801,847211,901583,183618,651950,74526
FemEA_BachelorsDegree,303031,50820,472133,168961,3039279,535564,293668,72216,64307,1596662,751809,120647,122388,995241,420789,225942,218242,237644,284378,115239,495552,633652,674743,491763,158888,413920,86388,144660,183240,118016,845839,121754,1556215,802488,59367,773536,243658,334784,931645,84095,342895,62938,453989,1988244,227708,59409,711317,619146,88310,445388,37044
FemEA_MastersDegree,150031,22403,223892,77191,1301082,250114,191936,42657,59072,686179,375542,46934,40630,526911,192554,83636,102169,144216,127589,54398,335948,401306,343546,199193,82816,214594,32160,58318,73063,63436,418491,73509,1029873,363346,19045,390782,98772,155419,501705,44604,175536,21654,210830,824144,73185,34047,406190,290325,50659,181631,16596
FemEA_ProfessionalSchoolDegree,23070,4980,37277,11837,321118,43044,36524,6109,23282,148363,81018,11281,7006,94494,28901,13870,15500,26431,24264,9574,61763,71757,54504,38330,13240,33852,6463,10568,14535,8932,76032,12501,194896,59846,2928,60784,16458,30255,83826,7770,26139,3880,39113,140161,11474,5519,68245,54426,7130,28642,2240
FemEA_DoctorateDegree,17006,2474,29221,8593,192959,31448,19617,5397,9941,83540,52045,6640,5118,56348,21016,11757,11240,15594,13922,6938,51785,63952,35316,26571,10133,23060,4775,8188,9246,6557,46211,9830,104920,45462,2622,40615,11660,22041,64860,6530,18245,2808,28692,95979,8427,4408,49646,36101,5450,22655,1670
MaleSDR_CivilianPop16to19Years,133419,19839,194349,83600,1062842,152953,101526,25106,14220,503701,302779,32888,52404,347015,192271,91259,85060,121042,124062,33512,161034,191757,270893,150279,87158,165727,28635,56215,76316,36342,239831,59240,510647,287119,21979,319068,110568,103448,341461,30969,138571,24823,181605,852664,103789,18586,231600,186156,46803,159063,16411
MaleSDR_NotHighSchoolGradNotEnrolled,6581,981,13113,4042,32659,6816,2517,1196,554,26160,16908,1121,3063,14115,10487,4039,4052,6165,6645,1311,5784,6883,12602,6054,5441,8200,1763,2027,4289,1117,7029,3978,19063,13582,1154,15253,6455,5422,17093,740,7028,1301,7043,42688,5083,692,6300,8968,1719,6117,716
MaleSDR_HighSchoolGradEnrolled ,126838,18858,181236,79558,1030183,146137,99009,23910,13666,477541,285871,31767,49341,332900,181784,87220,81008,114877,117417,32201,155250,184874,258291,144225,81717,157527,26872,54188,72027,35225,232802,55262,491584,273537,20825,303815,104113,98026,324368,30229,131543,23522,174562,809976,98706,17894,225300,177188,45084,152946,15695
FemaleSDR_CivilianPop16to19Years,131377,17164,186412,79352,1012943,142419,96628,25191,17148,479554,293838,30394,49344,330624,184849,87499,80643,114997,115896,31606,153693,192626,259744,143363,83820,156589,25697,52932,69377,35848,225699,56512,494011,278049,19700,304355,104416,97381,329825,32293,128634,23448,170995,807168,101304,17728,218806,177995,43063,151764,13583
FemSDR_NotHighSchoolGradNotEnrolled,4616,549,8314,2995,20664,4437,1688,987,286,16044,10135,1057,1988,10351,8334,3235,2656,4046,5495,1008,3794,3686,8631,3895,3802,6706,1218,1621,3247,883,4475,3303,14459,9191,692,11957,4311,3475,12521,599,4096,1041,5114,29468,2992,597,4592,6036,1468,4102,424
FemSDR_HighSchoolGradEnrolled ,126761,16615,178098,76357,992279,137982,94940,24204,16862,463510,283703,29337,47356,320273,176515,84264,77987,110951,110401,30598,149899,188940,251113,139468,80018,149883,24479,51311,66130,34965,221224,53209,479552,268858,19008,292398,100105,93906,317304,31694,124538,22407,165881,777700,98312,17131,214214,171959,41595,147662,13159
MaleES_Pop16YearsandOver,1921714,300904,2804618,1162716,15642410,2323120,1436602,384134,267002,8565225,4047719,588065,704549,5031810,2621864,1254676,1143513,1759011,1785133,553957,2374155,2789120,3995016,2238344,1126346,2396883,439629,756648,1227590,567486,3620134,830936,7910852,4028731,312126,4612633,1527632,1699756,5172417,439141,1973016,346661,2670093,11027126,1201946,264125,3385811,3065084,730546,2354124,234244
MaleES_InLaborForce,1213346,212319,1839639,728160,10922019,1711376,1013456,254386,196377,5494712,2766759,407564,485200,3522495,1803043,893707,816035,1123279,1132844,367321,1706122,1987584,2631775,1627981,686436,1613327,294384,558261,837643,405469,2581133,509653,5335192,2730180,231917,3119051,1018679,1136875,3484864,305653,1286784,248757,1778447,7910479,919070,178122,2400124,2148794,419244,1637876,166274
MaleES_InArmedForces,13658,17513,18958,4831,127554,31761,8719,3682,2704,58973,47925,40082,4056,15056,4239,2312,16374,12443,16709,1687,26868,4591,4256,3379,10727,15371,2651,5076,8625,2037,9160,10119,22357,90491,6033,8258,17439,3485,7293,3551,28863,2696,15829,85373,4616,826,106500,50225,1808,3033,2874
MaleES_Civilian,1199688,194806,1820681,723329,10794465,1679615,1004737,250704,193673,5435739,2718834,367482,481144,3507439,1798804,891395,799661,1110836,1116135,365634,1679254,1982993,2627519,1624602,675709,1597956,291733,553185,829018,403432,2571973,499534,5312835,2639689,225884,3110793,1001240,1133390,3477571,302102,1257921,246061,1762618,7825106,914454,177296,2293624,2098569,417436,1634843,163400
MaleES_Employed,1135882,180009,1720517,683007,10104245,1600877,939729,236135,179949,5147411,2576175,347922,461115,3285186,1712086,855577,765976,1049398,1035878,348450,1590284,1869455,2457622,1552811,630184,1523859,279338,534807,770283,386756,2412912,465393,4963131,2499821,217874,2939506,949385,1068250,3278110,282813,1191762,236986,1671825,7414563,882848,169085,2188229,1990888,388291,1572544,155502
MaleES_Unemployed,63806,14797,100164,40322,690220,78738,65008,14569,13724,288328,142659,19560,20029,222253,86718,35818,33685,61438,80257,17184,88970,113538,169897,71791,45525,74097,12395,18378,58735,16676,159061,34141,349704,139868,8010,171287,51855,65140,199461,19289,66159,9075,90793,410543,31606,8211,105395,107681,29145,62299,7898
MaleES_NotinLaborForce,708368,88585,964979,434556,4720391,611744,423146,129748,70625,3070513,1280960,180501,219349,1509315,818821,360969,327478,635732,652289,186636,668033,801536,1363241,610363,439910,783556,145245,198387,389947,162017,1039001,321283,2575660,1298551,80209,1493582,508953,562881,1687553,133488,686232,97904,891646,3116647,282876,86003,985687,916290,311302,716248,67970
FemES Pop16YearsandOver,2083785,271261,2846006,1219539,15857294,2283279,1518059,414664,301403,9011799,4337320,586446,700696,5244168,2721365,1268973,1155964,1829198,1894388,580836,2557410,2984786,4141477,2257608,1218071,2513894,432970,762767,1215518,577282,3816159,851632,8472575,4307800,295845,4836849,1566594,1734506,5414620,467163,2124349,339964,2834690,11234055,1189781,273350,3517796,3055831,748168,2377712,222884
FemES_InLaborForce,1100270,171476,1584554,662213,9207143,1446284,936551,242418,209274,4953578,2563105,357237,402777,3182689,1613128,795631,714395,1012709,1046865,345900,1624157,1894900,2376131,1481832,658602,1490868,257760,494105,711954,364324,2323903,454807,4996535,2489422,192265,2862594,883918,1013939,3186445,286813,1192906,217423,1620834,6582337,734748,171697,2152511,1809778,369189,1489486,134559
FemES_InArmedForces,1945,2564,3329,946,21146,5031,662,672,487,12281,7343,7266,862,3614,519,330,1993,1665,2794,184,6927,915,690,650,2344,4038,549,827,2013,303,2001,1777,2940,9714,1385,2518,3560,636,1126,780,6825,286,2744,17227,889,86,23547,8432,260,700,561
FemES_Civilian,1098325,168912,1581225,661267,9185997,1441253,935889,241746,208787,4941297,2555762,349971,401915,3179075,1612609,795301,712402,1011044,1044071,345716,1617230,1893985,2375441,1481182,656258,1486830,257211,493278,709941,364021,2321902,453030,4993595,2479708,190880,2860076,880358,1013303,3185319,286033,1186081,217137,1618090,6565110,733859,171611,2128964,1801346,368929,1488786,133998
FemES_Employed,1037715,158655,1490274,627856,8572476,1374953,883266,228322,194018,4677500,2407578,332379,386311,2988287,1538837,765219,684240,959787,978029,332737,1530693,1797564,2234787,1427666,610606,1422107,247303,477182,659164,351750,2175990,424035,4700386,2345947,185738,2716957,837357,957857,3017484,269894,1121616,211371,1529315,6204067,707295,166154,2031552,1710768,347797,1442068,129432
FemES_Unemployed,60610,10257,90951,33411,613521,66300,52623,13424,14769,263797,148184,17592,15604,190788,73772,30082,28162,51257,66042,12979,86537,96421,140654,53516,45652,64723,9908,16096,50777,12271,145912,28995,293209,133761,5142,143119,43001,55446,167835,16139,64465,5766,88775,361043,26564,5457,97412,90578,21132,46718,4566
FemES_NotinLaborForce,983515,99785,1261452,557326,6650151,836995,581508,172246,92129,4058221,1774215,229209,297919,2061479,1108237,473342,441569,816489,847523,234936,933253,1089886,1765346,775776,559469,1023026,175210,268662,503564,212958,1492256,396825,3476040,1818378,103580,1974255,682676,720567,2228175,180350,931443,122541,1213856,4651718,455033,101653,1365285,1246053,378979,888226,88325
MaleEmpSec_EmployedCivilianPop16YearsandOver,1135882,180009,1720517,683007,10104245,1600877,939729,236135,179949,5147411,2576175,347922,461115,3285186,1712086,855577,765976,1049398,1035878,348450,1590284,1869455,2457622,1552811,630184,1523859,279338,534807,770283,386756,2412912,465393,4963131,2499821,217874,2939506,949385,1068250,3278110,282813,1191762,236986,1671825,7414563,882848,169085,2188229,1990888,388291,1572544,155502
MaleEmpSec_PrivateSector,812182,104114,1238702,482441,7157998,1122797,661605,164106,92742,3638930,1867420,214308,316321,2405804,1298968,612561,541733,768024,736995,219824,998245,1301109,1849192,1109786,444184,1100475,171998,371748,592686,271541,1752851,291241,3301131,1804711,142656,2164191,652414,751091,2357352,196317,861648,152341,1199883,5460702,635764,104762,1445597,1412809,274416,1171088,102302
MaleEmpSec_PublicSector,149692,43216,205335,81200,1139944,187326,100876,32315,42957,517028,288441,70807,56642,338054,154134,92643,99903,120890,124318,42225,314341,197527,211065,153722,89189,160168,39680,63218,79016,41830,281433,94212,694725,278744,29572,311033,137291,118335,323548,34195,137792,31039,183992,781672,108476,19422,402815,261734,63395,156246,27125
MaleEmpSec_SelfEmployed,124615,19595,193809,83689,1307668,206392,114339,25634,16594,751835,307698,42165,63141,338397,156710,106226,87160,107027,128275,56209,164586,195266,250812,174412,70894,163248,49521,67673,75915,45093,254423,52099,573449,286374,30740,283768,115123,130498,336855,29236,137689,37500,195635,878880,91679,26627,210393,207870,29022,161055,19014
MaleEmpSec_PrivateNonProfit,47676,12640,79205,34150,479777,80742,61333,13543,27457,228570,107374,19973,23829,197209,99378,42275,35578,50348,44385,29695,110448,172600,142278,112023,24159,96548,17185,30854,21136,27669,120870,26706,386220,125168,14203,175303,42193,66260,255317,22542,51634,15405,88888,279263,45749,17937,125678,104985,20992,81130,6551
MaleEmpSec_UnpaidFamilyWorkers,1717,444,3466,1527,18858,3620,1576,537,199,11048,5242,669,1182,5722,2896,1872,1602,3109,1905,497,2664,2953,4275,2868,1758,3420,954,1314,1530,623,3335,1135,7606,4824,703,5211,2364,2066,5038,523,2999,701,3427,14046,1180,337,3746,3490,466,3025,510
FemEmpSec_EmployedCivilianPop16YearsandOver,1037715,158655,1490274,627856,8572476,1374953,883266,228322,194018,4677500,2407578,332379,386311,2988287,1538837,765219,684240,959787,978029,332737,1530693,1797564,2234787,1427666,610606,1422107,247303,477182,659164,351750,2175990,424035,4700386,2345947,185738,2716957,837357,957857,3017484,269894,1121616,211371,1529315,6204067,707295,166154,2031552,1710768,347797,1442068,129432
FemEmpSec_PrivateSector,677980,78668,977935,398016,5407243,856447,561368,145307,83823,3170156,1597383,192081,237571,1960936,1023850,479588,417951,622565,623655,186255,847821,1096599,1487991,879450,386596,912819,134294,290969,474700,214383,1464189,237910,2812715,1542888,105224,1788748,518726,561142,1962319,172416,733248,122352,1022399,4118341,457682,82581,1207776,1032349,211094,933059,68730
FemEmpSec_PublicSector,191903,44306,240654,117142,1499073,223551,134290,39598,51440,634590,422537,71135,69040,444268,204663,130329,133209,167816,186769,50397,368761,257528,294927,214319,138246,207616,48257,81337,97854,54688,357060,108044,849280,395504,36387,389797,168217,164052,363985,38091,208691,37260,243503,1068937,125695,30050,449779,316379,78365,216077,32870
FemEmpSec_SelfEmployed,69033,14211,125541,46994,828986,136075,64425,14538,12743,447850,184232,31975,40746,195310,92889,55617,50735,58431,73650,30888,104475,125116,143891,98278,37134,94664,29486,36944,51855,24349,140109,33935,345360,175210,14182,159674,68768,100033,170043,16110,79367,16962,106074,503079,57311,17205,143219,152559,19490,90569,13435
FemEmpSec_PrivateNonProfit,97476,21110,143260,64503,818886,155290,121607,28344,45612,414875,199434,36304,37738,382605,214944,98275,80790,108612,92268,64482,206863,315356,304454,233581,46844,204354,34512,67183,33575,57433,211389,43421,685420,227450,29395,374380,79432,130528,516202,42857,98180,34151,154421,499320,64862,35977,227034,206174,38268,199324,13850
FemEmpSec_UnpaidFamilyWorkers,1323,360,2884,1201,18288,3590,1576,535,400,10029,3992,884,1216,5168,2491,1410,1555,2363,1687,715,2773,2965,3524,2038,1786,2654,754,749,1180,897,3243,725,7611,4895,550,4358,2214,2102,4935,420,2130,646,2918,14390,1745,341,3744,3307,580,3039,547
MaleUR_CivilianMaleinLaborForce16YearsandOver,1199688,194806,1820681,723329,10794465,1679615,1004737,250704,193673,5435739,2718834,367482,481144,3507439,1798804,891395,799661,1110836,1116135,365634,1679254,1982993,2627519,1624602,675709,1597956,291733,553185,829018,403432,2571973,499534,5312835,2639689,225884,3110793,1001240,1133390,3477571,302102,1257921,246061,1762618,7825106,914454,177296,2293624,2098569,417436,1634843,163400
MaleUR_Employed,1135882,180009,1720517,683007,10104245,1600877,939729,236135,179949,5147411,2576175,347922,461115,3285186,1712086,855577,765976,1049398,1035878,348450,1590284,1869455,2457622,1552811,630184,1523859,279338,534807,770283,386756,2412912,465393,4963131,2499821,217874,2939506,949385,1068250,3278110,282813,1191762,236986,1671825,7414563,882848,169085,2188229,1990888,388291,1572544,155502
